,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
0,Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2 stops,No info,13882.0
1,IndiGo,12/05/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218.0
2,IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302.0
3,SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873.0
4,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087.0
5,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No info,22270.0
6,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087.0
7,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625.0
8,Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8907.0
9,IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174.0
10,Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0
11,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663.0
12,IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804.0
13,Air India,3/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,14011.0
14,SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5830.0
15,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262.0
16,Air India,12/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2 stops,No info,13381.0
17,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898.0
18,GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495.0
19,Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No info,6955.0
20,IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0
21,IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823.0
22,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757.0
23,Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,13292.0
24,IndiGo,1/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238.0
25,GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,7682.0
26,Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668.0
27,Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0
28,Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0
29,Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,13227.0
30,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423.0
31,Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919.0
32,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373.0
33,IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894.0
34,SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649.0
36,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,19225.0
37,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14924.0
38,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,No info,9646.0
39,Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No info,8714.0
40,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373.0
42,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13062.0
44,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0
45,Air India,3/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0
46,Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117.0
47,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150.0
48,Jet Airways,9/03/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202.0
49,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121.0
50,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No info,4377.0
51,IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3h,non-stop,No info,3943.0
52,Air Asia,3/04/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No info,4483.0
53,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231.0
54,Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No info,17345.0
55,Vistara,6/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,7414.0
56,Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073.0
57,Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395.0
59,Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117.0
60,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,9816.0
61,IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191.0
62,Vistara,24/05/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0
63,IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894.0
64,Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403.0
65,Air India,6/05/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3625.0
66,Air India,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,10861.0
68,Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,5678.0
69,Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134.0
71,Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819.0
73,Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,7240.0
75,IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049.0
76,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,12373.0
77,SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332.0
78,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14h 50m,1 stop,No info,10844.0
79,Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No info,7229.0
80,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,22h 10m,1 stop,No info,13941.0
81,IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,5894.0
82,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10197.0
83,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712.0
85,Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014.0
88,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,9646.0
89,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1 stop,No info,9816.0
90,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 13 Mar,17h 30m,1 stop,No info,13817.0
91,Air India,6/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,13748.0
92,Air India,21/04/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4880.0
93,IndiGo,21/06/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540.0
94,SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257.0
95,Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478.0
96,Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,8040.0
99,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 10 Jun,12h 15m,1 stop,No info,12373.0
100,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262.0
102,Air India,1/05/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6121.0
103,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029.0
104,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No info,11421.0
105,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1 stop,No info,7574.0
106,Air India,9/05/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596.0
107,Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,19h 55m,2 stops,No info,15129.0
108,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 16 Mar,15h,1 stop,No info,13555.0
110,Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,12h 45m,1 stop,No info,9397.0
111,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,10h 10m,1 stop,No info,17024.0
113,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,10348.0
